Title;Artist;Album;Track;Genre;Year;Length;Filename;
The Lab Rats - Give My Soul;Kruder & Dorfmeister;DJ-Kicks - Kruder & Dorfmeister;04;Electronic Chill;1996;190;Kruder & Dorfmeister - 04 - The Lab Rats - Give My Soul.mp3;
Count Basic K&D Session - Speechless Drum & Bass;Kruder & Dorfmeister;Conversions - A K&D Selection;7/10;Electronic Chill;1996;411;Kruder & Dorfmeister - 07 - Count Basic K&D Session - Speechless Drum & Bass.mp3;
Earl Grey - The Lick;Kruder & Dorfmeister;Conversions - A K&D Selection;10/10;Electronic Chill;1996;394;Kruder & Dorfmeister - 10 - Earl Grey - The Lick.mp3;
Pussy Whistle (feat. Masta Killa);Kurupt;The Academy 3;10/34;Hip Hop;2021;205;Kurupt - 10 - Pussy Whistle (feat. Masta Killa).mp3;
Westside Willie (OG Mix) (feat. Planet Asia & P.U.R.E);KXNG Crooked;The Academy 3;07/34;Hip Hop;2021;193;KXNG Crooked - 07 - Westside Willie (OG Mix) (feat. Planet Asia & P.U.R.E).mp3;
French Connection (feat. La the Darkman, Tristate & Bronze Nazareth);KXNG Crooked;The Academy 3;21/34;Hip Hop;2021;277;KXNG Crooked - 21 - French Connection (feat. La the Darkman, Tristate & Bronze Nazareth).mp3;
To Da Break Of Dawn;L.L. Cool J;East vs. West: Rap Battle Royale;06/10;Hip Hop;1991;274;L.L. Cool J - 06 - To Da Break Of Dawn.mp3;
Poker Face  ;Lady GaGa ;;023;Pop;2008;239;Lady GaGa  - 23 - Poker Face  .mp3;
Fantastic Voyage;Lakeside ;The Ultimate Collection Soul 100 Hits CD05;18;Soul;2008;240;Lakeside  - 18 - Fantastic Voyage.mp3;
Doodlin';Lambert, Hendricks & Bavan;(1963) Swingin' Till the Girls Come Home;2/15;Jazz;1963;209;Lambert, Hendricks & Bavan - 02 - Doodlin'.mp3;
If You Love Me (Original Mix);LaVern Baker;The Magic of Rhythm and Blues, Vol. 1;26;Rhythm n Blues;2021;159;LaVern Baker - 26 - If You Love Me (Original Mix).mp3;
Into the Ether (Original Mix);Lazy Hammock;Chill out Magnifique, Vol. 2;7;Electronic Chill;2019-11-22;400;Lazy Hammock - 07 - Into the Ether (Original Mix).mp3;
Black Dog;Led Zeppelin;(1971) Led Zeppelin IV;1/8;Rock;1971;298;Led Zeppelin - 01 - Black Dog.mp3;
Rock And Roll;Led Zeppelin;(1971) Led Zeppelin IV;2/8;Rock;1971;221;Led Zeppelin - 02 - Rock And Roll.mp3;
Kary's Trance;Lee Konitz;(1957) Lee Konitz - Inside Hi-Fi;01/8;Jazz;1957;368;Lee Konitz - 01 - Kary's Trance.mp3;
Sweet And Lovely;Lee Konitz;(1957) Lee Konitz - Inside Hi-Fi;03/8;Jazz;1957;243;Lee Konitz - 03 - Sweet And Lovely.mp3;
Cornbread;Lee Morgan;1965 - Cornbread;01;Jazz;1965;543;Lee Morgan - 01 - Cornbread.mp3;
Our Man Higgins;Lee Morgan;1965 - Cornbread;02;Jazz;1965;534;Lee Morgan - 02 - Our Man Higgins.mp3;
A Rose in the Snow (Original Mix);Leon Ard;Chill out Magnifique, Vol. 1;7;Electronic Chill;2019-10-25;243;Leon Ard - 07 - A Rose in the Snow (Original Mix).mp3;
Dramatics (Original Mix);Leon Ard;Chill out Magnifique, Vol. 1;19;Electronic Chill;2019-10-25;172;Leon Ard - 19 - Dramatics (Original Mix).mp3;
Give Me The Sunshine;Leo's Sunshipp ;Ultimate Soul Collection Soul 100 Hits CD3;14;Soul;2008;364;Leo's Sunshipp  - 14 - Give Me The Sunshine.mp3;
Unbeautiful;Lesley Roy;;054;Pop;;232;Lesley Roy - 54 - Unbeautiful.mp3;
St. Tropez - master take;Lester Young;(1957-58, Verve)  With Harry Sweets Edison;01;Jazz;1957;638;Lester Young - 01 - St. Tropez - master take.mp3;
Flic;Lester Young;(1957-58, Verve)  With Harry Sweets Edison;02;Jazz;1957;392;Lester Young - 02 - Flic.mp3;
Broken;Lifehouse;;073;Pop;2009;287;Lifehouse - 73 - Broken.mp3;
Goin' Back Home;Lightnin' Hopkins;Blues Classics - 100 Greatest Hits;8;Blues;2001;195;Lightnin' Hopkins - 08 - Goin' Back Home.mp3;
Santa Fe Blues;Lightnin' Hopkins;Blues Classics - 100 Greatest Hits;17;Blues;2001;196;Lightnin' Hopkins - 17 - Santa Fe Blues.mp3;
Things I Used To Do;Lightnin' Slim;Blues Classics - 100 Greatest Hits;24;Blues;2001;194;Lightnin' Slim - 24 - Things I Used To Do.mp3;
I Be;Lil Blacky, Killa D & El Stryker;East Side Gangsters 4;06/15;Hip Hop;2007;229;Lil Blacky, Killa D & El Stryker - 06 - I Be.mp3;
Dont Give A (Remix);Lil Blacky, Lil Sicko, Pops & KiddLok'd;East Side Gangsters 4;03/15;Hip Hop;2007;273;Lil Blacky, Lil Sicko, Pops & KiddLok'd - 03 - Dont Give A (Remix).mp3;
We In It;Lil Blacky, Lil Sicko, Pops & Trav;East Side Gangsters 4;14/15;Hip Hop;2007;166;Lil Blacky, Lil Sicko, Pops & Trav - 14 - We In It.mp3;
The Game;Lil Sicko, BAdBoy & Killa D;East Side Gangsters 4;05/15;Hip Hop;2007;227;Lil Sicko, BAdBoy & Killa D - 05 - The Game.mp3;
Prom Queen;Lil Wayne;;026;Pop;;224;Lil Wayne - 26 - Prom Queen.mp3;
Life Under the Tree (Original Mix);Lilli;Chill out Magnifique, Vol. 1;8;Soft Rock;2019-10-25;272;Lilli - 08 - Life Under the Tree (Original Mix).mp3;
The Fear;Lily Allen;;094;Pop;;209;Lily Allen - 94 - The Fear.mp3;
Bye Bye Blues;Lionel Hampton;Mostly Blues;01;Jazz;1989;541;Lionel Hampton - 01 - Bye Bye Blues.mp3;
Shout Out to My Ex;Little Mix;100 Greatest Modern Pop Songs;12;Pop;2020;246;Little Mix - 12 - Shout Out to My Ex.mp3;
My Babe (Original Mix);Little Walter;The Magic of Rhythm and Blues, Vol. 1;02;Rhythm n Blues;2021;161;Little Walter - 02 - My Babe (Original Mix).mp3;
Last Night (Original Mix);Little Walter;The Magic of Rhythm and Blues, Vol. 1;20;Blues;2021;165;Little Walter - 20 - Last Night (Original Mix).mp3;
Floods (Original Mix);Lo Tide;Chill out Magnifique, Vol. 1;5;Electronic Chill;2019-10-25;159;Lo Tide - 05 - Floods (Original Mix).mp3;
Chop (feat. Nature);Long Story Longer;The Academy 3;19/34;Hip Hop;2021;244;Long Story Longer - 19 - Chop (feat. Nature).mp3;
I See Through U;Lonley;East Side Gangsters 4;15/15;Hip Hop;2007;216;Lonley - 15 - I See Through U.mp3;
Galveston Bay;Lonnie Hill ;Ultimate Soul Collection Soul 100 Hits CD3;15;Soul;2008;244;Lonnie Hill  - 15 - Galveston Bay.mp3;
Tahiti;Lou Donaldson;Complete 1952 Blue Note Studio Sessions;01;Jazz;1952;207;Lou Donaldson - 01 - Tahiti.mp3;
Perfect Day;Lou Reed;100 Hits - The Best - Soft Rock Album - CD5;10/20;Soft Rock;2018;223;Lou Reed - 10 - Perfect Day.mp3;
I'll Never Be the Same;Louis Armstrong;(1957) Louis Armstrong Meets Oscar Peterson;03;Jazz;1957;214;Louis Armstrong - 03 - I'll Never Be the Same.mp3;
Swing That Music;Louis Armstrong;(1936-37) Complete Decca;8/25;Swing;1936;172;Louis Armstrong - 08 - Swing That Music.mp3;
Thankful;Louis Armstrong;(1936-37) Complete Decca;9/25;Swing;1936;178;Louis Armstrong - 09 - Thankful.mp3;
Red Nose;Louis Armstrong;(1936-37) Complete Decca;10/25;Swing;1936;184;Louis Armstrong - 10 - Red Nose.mp3;
Mahogany Hall Stomp;Louis Armstrong;(1936-37) Complete Decca;11/25;Swing;1936;174;Louis Armstrong - 11 - Mahogany Hall Stomp.mp3;
Anybody (feat. Ab-Soul);Louis King;The Academy 3;20/34;Hip Hop;2021;223;Louis King - 20 - Anybody (feat. Ab-Soul).mp3;
Love Hearts;Low:r;Liquicity Summer 2021;3;Electronic;2021;251;Lowr - 03 - Love Hearts.mp3;
Blame - Revival;LTJ Bukem;Earth - Volume One;6/10;Electronic Chill;;444;LTJ Bukem - 06 - Blame - Revival.mp3;
Ir-On-Ing;LTJ Bukem;LTJ Bukem - Earth Volume 3;07;Electronic Chill;1998;137;LTJ Bukem - 07 - Ir-On-Ing.mp3;
Pablo - Do What You Gotta Do;LTJ Bukem;Earth - Volume One;7/10;Electronic Chill;;556;LTJ Bukem - 07 - Pablo - Do What You Gotta Do.mp3;
Distant Space;LTJ Bukem;LTJ Bukem - Earth Volume 3;08;Electronic Chill;1998;625;LTJ Bukem - 08 - Distant Space.mp3;
Poets Of Thought - Jamming The Session;LTJ Bukem;Earth - Volume One;8/10;Electronic Chill;;245;LTJ Bukem - 08 - Poets Of Thought - Jamming The Session.mp3;
First Light;LTJ Bukem;LTJ Bukem - Earth Volume 3;09;Electronic Chill;1998;377;LTJ Bukem - 09 - First Light.mp3;
LTJ Bukem - Moodswings;LTJ Bukem;Earth - Volume One;9/10;Electronic Chill;;565;LTJ Bukem - 09 - LTJ Bukem - Moodswings.mp3;
Doc Scott - Tokyo Dawn;LTJ Bukem;Earth - Volume One;10/10;Electronic Chill;;459;LTJ Bukem - 10 - Doc Scott - Tokyo Dawn.mp3;
Latitude;LTJ Bukem;LTJ Bukem - Earth Volume 3;10;Electronic Chill;1998;392;LTJ Bukem - 10 - Latitude.mp3;
Never Too Much;Luther Vandross ;Ultimate Soul Collection Soul 100 Hits CD3;1;Soul;2008;225;Luther Vandross  - 01 - Never Too Much.mp3;
Pretty Girl (Cheat Codes X CADE Remix);Maggie Lindemann;100 Greatest Modern Pop Songs;47;Pop;2020;194;Maggie Lindemann - 47 - Pretty Girl (Cheat Codes X CADE Remix).mp3;
Lean On (feat. MØ & DJ Snake);Major Lazer, MØ, DJ Snake;100 Greatest Modern Pop Songs;09;Pop;2020;177;Major Lazer, MØ, DJ Snake - 09 - Lean On (feat. MØ & DJ Snake).mp3;
Ton Sur Ton;Marc Johnson;Shades Of Jade;01;Jazz;2005;356;Marc Johnson - 01 - Ton Sur Ton.mp3;
Apareceu;Marc Johnson;Shades Of Jade;02;Jazz;2005;364;Marc Johnson - 02 - Apareceu.mp3;
Astronaut;Marc Spieler;Winter Collection 2017;02/19;Electronic;2017;380;Marc Spieler - 02 - Astronaut.mp3;
7th Ave, Stroll;Mark Whitfield;Mark Whitfield 7th Ave. Stroll;03/11;Jazz;1995;405;Mark Whitfield - 03 - 7th Ave, Stroll.mp3;
Moves Like Jagger;Maroon 5, Christina Aguilera;100 Greatest Modern Pop Songs;42;Pop;2020;203;Maroon 5, Christina Aguilera - 42 - Moves Like Jagger.mp3;
Nowhere To Run;Martha Reeves & The Vandellas ;The Ultimate Collection Soul 100 Hits CD01;8;Soul;2008;176;Martha Reeves & The Vandellas  - 08 - Nowhere To Run.mp3;
What's Happening Brother;Marvin Gaye;What's Going On;02;Soul;1971;164;Marvin Gaye - 02 - What's Happening Brother.mp3;
Flyin' High (In The Friendly Sky);Marvin Gaye;What's Going On;03;Soul;1971;230;Marvin Gaye - 03 - Flyin' High (In The Friendly Sky).mp3;
Right On;Marvin Gaye;What's Going On;07;Soul;1971;444;Marvin Gaye - 07 - Right On.mp3;
Inner City Blues (Make Me Wanna Holler);Marvin Gaye;What's Going On;09;Soul;1971;327;Marvin Gaye - 09 - Inner City Blues (Make Me Wanna Holler).mp3;
Come On Get Higher;Matt Nathanson;;063;Pop;;213;Matt Nathanson - 63 - Come On Get Higher.mp3;
Effy;Max Mader;Winter Collection 2017;18/19;Electronic;2017;434;Max Mader - 18 - Effy.mp3;
Compliments;Maysa ;The Ultimate Collection Soul 100 Hits CD04;15;Soul;2008;245;Maysa  - 15 - Compliments.mp3;
Survival Of The Fittest;MC Lyte;East vs. West: Rap Battle Royale;07/10;Hip Hop;1991;250;MC Lyte - 07 - Survival Of The Fittest.mp3;
The Comeback;Memphis Slim;Blues Classics - 100 Greatest Hits;2;Blues;2001;138;Memphis Slim - 02 - The Comeback.mp3;
Allegro von moto-Allegro un poco agitato-Assai animato-Andante come prima;Mendelssohn - The Complete Symphonies;Bernard Haitink - Ricardo Chailly Vol 1 D 1;06;Classical;;814;Mendelssohn - The Complete Symphonies - 06 - Allegro von moto-Allegro un poco agitato-Assai animato-Andante come prima.mp3;
Vivace non troppo;Mendelssohn - The Complete Symphonies;Bernard Haitink - Ricardo Chailly Vol 1 D 1;07;Classical;;261;Mendelssohn - The Complete Symphonies - 07 - Vivace non troppo.mp3;
Adagio;Mendelssohn - The Complete Symphonies;Bernard Haitink - Ricardo Chailly Vol 1 D 1;08;Classical;;530;Mendelssohn - The Complete Symphonies - 08 - Adagio.mp3;
Shake It ;Metro Station;;049;Pop;;179;Metro Station - 49 - Shake It .mp3;
Seventeen Forever ;Metro Station;;087;Pop;;174;Metro Station - 87 - Seventeen Forever .mp3;
My One Temptation;Mica Paris ;Ultimate Soul Collection Soul 100 Hits CD3;8;Soul;2008;214;Mica Paris  - 08 - My One Temptation.mp3;
Where Is The Love?;Mica Paris & Will Downing ;The Ultimate Collection Soul 100 Hits CD02;16;Soul;2008;207;Mica Paris & Will Downing  - 16 - Where Is The Love.mp3;
When A Man Loves A Woman;Michael Bolton;100 Hits - The Best - Soft Rock Album - CD5;09/20;Soul;2018;231;Michael Bolton - 09 - When A Man Loves A Woman.mp3;
Got To Be There;Michael Jackson ;The Ultimate Collection Soul 100 Hits CD01;15;Soul;2008;200;Michael Jackson  - 15 - Got To Be There.mp3;
Midas Touch;Midnight Star;The Ultimate Collection Soul 100 Hits CD05;7;Soul;2008;229;Midnight Star - 07 - Midas Touch.mp3;
I Took A Pill In Ibiza;Mike Posner, Martin Terefe, Geoff Lea, Nikolaj Torp, Oskar Winberg, Eugene Huang;100 Greatest Modern Pop Songs;51;Soft Rock;2020;281;Mike Posner, Martin Terefe, Geoff Lea, Nikolaj Torp, Oskar Winberg, Eugene Huang - 51 - I Took A Pill In Ibiza.mp3;
John Hardy;Mike Seeger;The Greenwich Village Folk Scene CD1;6;Folk;2014;162;Mike Seeger - 06 - John Hardy.mp3;
Sad And Lonesome Day;Mike Seeger;The Greenwich Village Folk Scene CD3;7/20;Folk;2014;210;Mike Seeger - 07 - Sad And Lonesome Day.mp3;
Worried Blues;Mike Seeger;The Greenwich Village Folk Scene CD2;9/20;Folk;2014;209;Mike Seeger - 09 - Worried Blues.mp3;
Don't Let Your Deal Go Down;Mike Seeger;The Greenwich Village Folk Scene CD2;19/20;Folk;2014;200;Mike Seeger - 19 - Don't Let Your Deal Go Down.mp3;
Freddie Freeloader (Kind of Blue);Miles Davis;(1959) Kind of Blue;01;Jazz;1959;588;Miles Davis - 01 - Freddie Freeloader (Kind of Blue).mp3;
Joshua ;Miles Davis;(1963) Seven Steps to Heaven (complete Columbia);01;Jazz;1963;327;Miles Davis - 01 - Joshua .mp3;
Move;Miles Davis;(1949-50) Birth Of Cool;01;Jazz;1949;155;Miles Davis - 01 - Move.mp3;
'Round Midnight;Miles Davis;(1955,56) Round About Midnight [MFSL];1/6;Jazz;1955;361;Miles Davis - 01 - 'Round Midnight.mp3;
Surrey With The Fringe On Top;Miles Davis;(1956) Steamin' with Miles Davis (1994 DCC Gold GZS-1065);1/6;Jazz;1956;548;Miles Davis - 01 - Surrey With The Fringe On Top.mp3;
I Fall In Love Too Easily ;Miles Davis;(1963) Seven Steps to Heaven (complete Columbia);02;Jazz;1963;409;Miles Davis - 02 - I Fall In Love Too Easily .mp3;
Jeru;Miles Davis;(1949-50) Birth Of Cool;02;Jazz;1949;195;Miles Davis - 02 - Jeru.mp3;
Old Folks;Miles Davis;(1961) Someday My Prince Will Come;02;Jazz;1961;318;Miles Davis - 02 - Old Folks.mp3;
Love Me Or Leave Me;Miles Davis;(1954) Walkin';05/5;Jazz;1954;417;Miles Davis - 05 - Love Me Or Leave Me.mp3;
Now's The Time;Milt Jackson;(1956) Jackson's Ville;1/4;Jazz;1956;500;Milt Jackson - 01 - Now's The Time.mp3;
Where I Stood;Missy Higgins;;091;Pop;;258;Missy Higgins - 91 - Where I Stood.mp3;
Connected 4 Life;Mister One;East Side Gangsters 4;12/15;Hip Hop;2007;196;Mister One - 12 - Connected 4 Life.mp3;
Ocean Breathes Salty;Modest Mouse;Good News for People Who Love Bad News;4;Rock;2004;229;Modest Mouse - 04 - Ocean Breathes Salty.mp3;
Jimmy;Moriarty;Gee whiz but this is a lonesome town;1/13;Soft Rock;2007;265;Moriarty - 01 - Jimmy.mp3;
Fireday;Moriarty;Gee whiz but this is a lonesome town;10/13;Soft Rock;2007;193;Moriarty - 10 - Fireday.mp3;
Soul Strong;Mr. Green & Rim Da Villian;The Academy 3;33/34;Hip Hop;2021;186;Mr. Green & Rim Da Villian - 33 - Soul Strong.mp3;
Tchaikovsky - Symphony No. 6 - I. Adagio;Mravinsky;Tchaikovsky - Symphony No. 6;9/6;Classical;1961;1061;Mravinsky - 09 - Tchaikovsky - Symphony No. 6 - I. Adagio.mp3;
Tchaikovsky - Symphony No. 6 - II. Allegro;Mravinsky;Tchaikovsky - Symphony No. 6;10/6;Classical;1961;487;Mravinsky - 10 - Tchaikovsky - Symphony No. 6 - II. Allegro.mp3;
Mannish Boy (Original Mix);Muddy Waters;The Magic of Rhythm and Blues, Vol. 1;19;Blues;2021;176;Muddy Waters - 19 - Mannish Boy (Original Mix).mp3;
(I'm Your) Hoochie Coochie Man (Original Mix);Muddy Waters;The Magic of Rhythm and Blues, Vol. 1;23;Blues;2021;172;Muddy Waters - 23 - (I'm Your) Hoochie Coochie Man (Original Mix).mp3;
Screamin' And Cryin';Muddy Waters;Blues Classics - 100 Greatest Hits;25;Blues;2001;316;Muddy Waters - 25 - Screamin' And Cryin'.mp3;
Each Other;Mufti;Various Artists #1;11;Electronic;2020;441;Mufti - 11 - Each Other.mp3;
Suck My Acid;Mundo D;Various Artists #2;9;Electronic;2021;410;Mundo D - 09 - Suck My Acid.mp3;
Watermelon;Nat Adderley;(1967) Introducing Nat Adderley (with Cannonball);1;Jazz;1955;168;Nat Adderley - 01 - Watermelon.mp3;
Work from Home;Natalie Gang;100 Greatest Modern Pop Songs;26;Pop;2020;215;Natalie Gang - 26 - Work from Home.mp3;
Shiver;Natalie Imbruglia;100 Hits - The Best - Soft Rock Album - CD5;13/20;Soft Rock;2018;223;Natalie Imbruglia - 13 - Shiver.mp3;
Debussy - Violin Sonata in G Minor - I. Allegro vivo;Nathan Milstein;Debussy - Violin Sonata in G Minor (Milstein);1;Classical;1960;264;Nathan Milstein - 01 - Debussy - Violin Sonata in G Minor - I. Allegro vivo.mp3;
La La La;Naughty Boy, Sam Smith;100 Greatest Modern Pop Songs;48;Pop;2020;221;Naughty Boy, Sam Smith - 48 - La La La.mp3;
You Know;Neal Porter;Winter Collection 2017;08/19;Electronic;2017;393;Neal Porter - 08 - You Know.mp3;
Sexual;NEIKED, Dyo;100 Greatest Modern Pop Songs;44;Pop;2020;189;NEIKED, Dyo - 44 - Sexual.mp3;
Mad ;Ne-Yo;;20;Pop;2009;254;Ne-Yo - 20 - Mad .mp3;
Miss Independent;Ne-Yo;;028;Pop;;231;Ne-Yo - 28 - Miss Independent.mp3;
Gotta Be Somebody;Nickelback;;21;Pop;2009;254;Nickelback - 21 - Gotta Be Somebody.mp3;
Smells Like Teen Spirit;Nirvana;Nevermind;1/12;Rock;1991;301;Nirvana - 01 - Smells Like Teen Spirit.mp3;
In Bloom;Nirvana;Nevermind;2/12;Rock;1991;255;Nirvana - 02 - In Bloom.mp3;
Come As You Are;Nirvana;Nevermind;3/12;Rock;1991;219;Nirvana - 03 - Come As You Are.mp3;
Ravel - Trio  for piano & strings in D minor, Op. 9: 3.Allegro risoluto;Oistrakh;Ravel - Trio Elegiaque, for piano & strings in D minor, Op. 9 (Oistrakh);3;Classical;1954;438;Oistrakh - 03 - Ravel - Trio  for piano & strings in D minor, Op. 9 3.Allegro risoluto.mp3;
Mozart - Concerto No.2 In D, K 211 - 3. Rondeau- Allegro;Oistrakh;Mozart - Concerto No.2 In D, K 211 (Oistrakh);06;Classical;1971;299;Oistrakh - 06 - Mozart - Concerto No.2 In D, K 211 - 3. Rondeau- Allegro.mp3;
Brooklyn Zoo;Ol' Dirty Bastard;100 Greatest Rap Songs: The Greatest Hip-Hop Tracks Ever;6;Hip Hop;2020-01-03;218;Ol' Dirty Bastard - 06 - Brooklyn Zoo.mp3;
Get Here;Oleta Adams ;Ultimate Soul Collection Soul 100 Hits CD3;7;Soul;2008;274;Oleta Adams  - 07 - Get Here.mp3;
There's Nothing Like This;Omar ;Ultimate Soul Collection Soul 100 Hits CD3;9;Soul;2008;249;Omar  - 09 - There's Nothing Like This.mp3;
Best Song Ever;One Direction;100 Greatest Modern Pop Songs;46;Pop;2020;200;One Direction - 46 - Best Song Ever.mp3;
Counting Stars;OneRepublic;100 Greatest Modern Pop Songs;22;Pop;2020;258;OneRepublic - 22 - Counting Stars.mp3;
I'm So 90's;Onyx;The Academy 3;25/34;Hip Hop;2021;171;Onyx - 25 - I'm So 90's.mp3;
Cotton-Eyed Joe;Oscar Brand;The Greenwich Village Folk Scene CD1;18;Folk;2014;94;Oscar Brand - 18 - Cotton-Eyed Joe.mp3;
Happy-Go-Lucky Local (AKA 'Night Train');Oscar Peterson;(1962) Night Train;01;Jazz Piano;1962;293;Oscar Peterson - 01 - Happy-Go-Lucky Local (AKA 'Night Train').mp3;
C-Jam Blues;Oscar Peterson;(1962) Night Train;02;Jazz Piano;1962;206;Oscar Peterson - 02 - C-Jam Blues.mp3;
Georgia On My Mind;Oscar Peterson;(1962) Night Train;03;Jazz Piano;1962;227;Oscar Peterson - 03 - Georgia On My Mind.mp3;
Bags' Groove;Oscar Peterson;(1962) Night Train;04;Jazz Piano;1962;343;Oscar Peterson - 04 - Bags' Groove.mp3;
Moten Swing;Oscar Peterson;(1962) Night Train;05;Jazz Piano;1962;176;Oscar Peterson - 05 - Moten Swing.mp3;
The First Cut Is The Deepest;P Arnold ;The Ultimate Collection Soul 100 Hits CD02;20;Soul;2008;196;P Arnold  - 20 - The First Cut Is The Deepest.mp3;
Double Time;P.U.R.E;The Academy 3;24/34;Hip Hop;2021;192;P.U.R.E - 24 - Double Time.mp3;
Decode;Paramore;;051;Pop;;261;Paramore - 51 - Decode.mp3;
Oleo;Pat Martino;(2000) Live at Yoshi's;01/8;Jazz;2000;420;Pat Martino - 01 - Oleo.mp3;
All Blues;Pat Martino;(2000) Live at Yoshi's;02/8;Jazz;2000;723;Pat Martino - 02 - All Blues.mp3;
All the Things You Are;Paul Desmond;(1962) Two of A Mind with Gerry Mulligan;01;Jazz;1962;349;Paul Desmond - 01 - All the Things You Are.mp3;
Reunited;Peaches & Herb ;The Ultimate Collection Soul 100 Hits CD02;6;Soul;2008;235;Peaches & Herb  - 06 - Reunited.mp3;
Turn! Turn! Turn!;Pete Seeger;The Greenwich Village Folk Scene CD2;1/20;Folk;2014;194;Pete Seeger - 01 - Turn! Turn! Turn!.mp3;
Kisses Sweeter Than Wine;Pete Seeger;The Greenwich Village Folk Scene CD1;8;Folk;2014;180;Pete Seeger - 08 - Kisses Sweeter Than Wine.mp3;
If I Had A Hammer;Peter, Paul & Mary;The Greenwich Village Folk Scene CD1;3;Folk;2014;122;Peter, Paul & Mary - 03 - If I Had A Hammer.mp3;
Early In The Morning;Peter, Paul & Mary;The Greenwich Village Folk Scene CD2;4/20;Folk;2014;97;Peter, Paul & Mary - 04 - Early In The Morning.mp3;
Lemon Tree;Peter, Paul & Mary;The Greenwich Village Folk Scene CD3;10/20;Folk;2014;178;Peter, Paul & Mary - 10 - Lemon Tree.mp3;
This Train;Peter, Paul & Mary;The Greenwich Village Folk Scene CD2;17/20;Folk;2014;132;Peter, Paul & Mary - 17 - This Train.mp3;
The Stanley Stomper;Phil Woods;(1957) Pairing Off;1/4;Jazz;1957;861;Phil Woods - 01 - The Stanley Stomper.mp3;
Cool Aid;Phil Woods;(1957) Pairing Off;2/4;Jazz;1957;587;Phil Woods - 02 - Cool Aid.mp3;
Sunnyland Slim;Pinetop Perkins;Blues Classics - 100 Greatest Hits;10;Blues;2001;469;Pinetop Perkins - 10 - Sunnyland Slim.mp3;
Sober;Pink;;011;Pop;2009;252;Pink - 11 - Sober.mp3;
Astronomy Domine;Pink Floyd;(1967) The Piper at the Gates of Dawn (1st press);1/11;Rock;1967;253;Pink Floyd - 01 - Astronomy Domine.mp3;
Lucifer Sam;Pink Floyd;(1967) The Piper at the Gates of Dawn (1st press);2/11;Rock;1967;187;Pink Floyd - 02 - Lucifer Sam.mp3;
Put It On Ya;Plies ft. Chris J;;086;Pop;2008;243;Plies ft. Chris J - 86 - Put It On Ya.mp3;
You Aint;Pops, Killa D & Lil Sicko;East Side Gangsters 4;02/15;Hip Hop;2007;175;Pops, Killa D & Lil Sicko - 02 - You Aint.mp3;
(I'm Gonna) Cry Myself Blind;Primal Scream;100 Hits - The Best - Soft Rock Album - CD5;18/20;Soft Rock;2018;266;Primal Scream - 18 - (I'm Gonna) Cry Myself Blind.mp3;
Welcome To The Terrordome;Public Enemy;East vs. West: Rap Battle Royale;10/10;Hip Hop;1991;327;Public Enemy - 10 - Welcome To The Terrordome.mp3;
Keep Yourself Alive;Queen;(1973) Queen [UICY-75011];1/10;Rock;1973;228;Queen - 01 - Keep Yourself Alive.mp3;
My Fairy King;Queen;(1973) Queen [UICY-75011];4/10;Rock;1973;253;Queen - 04 - My Fairy King.mp3;
If I Could Turn Back The Hands Of Time;R Kelly ;The Ultimate Collection Soul 100 Hits CD04;1;Soul;2008;281;R Kelly  - 01 - If I Could Turn Back The Hands Of Time.mp3;
15 Step;Radiohead;(2007) In Rainbows;01/10;Rock;2007;238;Radiohead - 01 - 15 Step.mp3;
Bodysnatchers;Radiohead;(2007) In Rainbows;02/10;Rock;2007;242;Radiohead - 02 - Bodysnatchers.mp3;
Creep;Radiohead;(1993) Pablo Honey [Japan];2/17;Rock;1993;236;Radiohead - 02 - Creep.mp3;
How Do You?;Radiohead;(1993) Pablo Honey [Japan];3/17;Rock;1993;132;Radiohead - 03 - How Do You.mp3;
Death Of John Henry;Ramblin' Jack Elliott;The Greenwich Village Folk Scene CD3;4/20;Folk;2014;248;Ramblin' Jack Elliott - 04 - Death Of John Henry.mp3;
I Ain't Got No Home In This World Anymore;Ramblin' Jack Elliott;The Greenwich Village Folk Scene CD1;12;Folk;2014;138;Ramblin' Jack Elliott - 12 - I Ain't Got No Home In This World Anymore.mp3;
Jack O'Diamonds;Ramblin' Jack Elliott;The Greenwich Village Folk Scene CD2;14/20;Folk;2014;144;Ramblin' Jack Elliott - 14 - Jack O'Diamonds.mp3;
Knock, Knock;Ras Kass;The Academy 3;14/34;Hip Hop;2021;190;Ras Kass - 14 - Knock, Knock.mp3;
Let the Good Times Roll;Ray Charles;Ray Sings Basie Swings;02/12;Rhythm n Blues;2007;178;Ray Charles - 02 - Let the Good Times Roll.mp3;
Busted;Ray Charles;Ray Sings Basie Swings;05/12;Rhythm n Blues;2007;155;Ray Charles - 05 - Busted.mp3;
I Had A Dream;Ray Charles;(1957-1958) Atlantic Studio;7;Rhythm n Blues;1958;175;Ray Charles - 07 - I Had A Dream.mp3;
You Be My Baby;Ray Charles;(1957-1958) Atlantic Studio;8;Rhythm n Blues;1958;150;Ray Charles - 08 - You Be My Baby.mp3;
Alexander's Ragtime Band;Ray Charles;(1959) Atlantic Studio;10;Swing;1959;173;Ray Charles - 10 - Alexander's Ragtime Band.mp3;
America the Beautiful ;Ray Charles;A Message from the People;10/10;Rhythm n Blues;1972;215;Ray Charles - 10 - America the Beautiful .mp3;
